Weapon,Skin,Rarity,Case,Price
CZ75-Auto,Victoria,Covert Pistol,CS:GO Weapon Case 3,5.24
CZ75-Auto,Xiangliu,Classified Pistol,Spectrum Case,8.32
CZ75-Auto,Yellow Jacket,Classified Pistol,Falchion Case,4.37
CZ75-Auto,The Fuschia Is Now,Classified Pistol,CS:GO Weapon Case 3,23.05
CZ75-Auto,Eco,Restricted Pistol,Horizon Case,0.8
CZ75-Auto,Tacticat,Restricted Pistol,Spectrum 2 Case,0.36
CZ75-Auto,Red Astor,Restricted Pistol,Chroma 3 Case,0.34
CZ75-Auto,Pole Position,Restricted Pistol,Chroma 2 Case,0.34
CZ75-Auto,Tigris,Restricted Pistol,Operation Breakout Weapon Case,0.53
CZ75-Auto,Tread Plate,Restricted Pistol,CS:GO Weapon Case 3,7.42
CZ75-Auto,Circaetus,Mil-Spec Pistol,Snakebite Case,0.09
CZ75-Auto,Vendetta,Mil-Spec Pistol,Operation Broken Fang Case,0.55
CZ75-Auto,Distressed,Mil-Spec Pistol,Prisma 2 Case,0.07
CZ75-Auto,Polymer,Mil-Spec Pistol,Glove Case,0.1
CZ75-Auto,Imprint,Mil-Spec Pistol,Gamma 2 Case,0.1
CZ75-Auto,Hexane,Mil-Spec Pistol,eSports 2014 Summer Case,2.2
CZ75-Auto,Twist,Mil-Spec Pistol,Huntsman Weapon Case,2.87
CZ75-Auto,Poison Dart,Mil-Spec Pistol,The Huntsman Collection,2.9
CZ75-Auto,Crimson Web,Mil-Spec Pistol,CS:GO Weapon Case 3,1.49
Desert Eagle,Ocean Drive,Covert Pistol,Operation Riptide Case,20.37
Desert Eagle,Printstream,Covert Pistol,Fracture Case,39.16
Desert Eagle,Code Red,Covert Pistol,Horizon Case,23.01
Desert Eagle,Golden Koi,Covert Pistol,Operation Bravo Case,1.34
Desert Eagle,Mecha Industries,Classified Pistol,Danger Zone Case,4.04
Desert Eagle,Kumicho Dragon,Classified Pistol,Operation Wildfire Case,15.44
Desert Eagle,Conspiracy,Classified Pistol,Operation Breakout Weapon Case,5.44
Desert Eagle,Cobalt Disruption,Classified Pistol,eSports 2013 Winter Case,67.91
Desert Eagle,Hypnotic,Classified Pistol,CS:GO Weapon Case,1.34
Desert Eagle,Trigger Discipline,Restricted Pistol,Snakebite Case,0.39
Desert Eagle,Light Rail,Restricted Pistol,Prisma Case,0.6
Desert Eagle,Directive,Restricted Pistol,Gamma 2 Case,0.31
Desert Eagle,Naga,Restricted Pistol,Chroma Case,1.43
Desert Eagle,Crimson Web,Restricted Pistol,eSports 2014 Summer Case,7.49
Desert Eagle,Heirloom,Restricted Pistol,CS:GO Weapon Case 3,6.01
Desert Eagle,Blue Ply,Mil-Spec Pistol,Prisma 2 Case,0.13
Desert Eagle,Oxide Blaze,Mil-Spec Pistol,Spectrum Case,0.2
Desert Eagle,Corinthian,Mil-Spec Pistol,Revolver Case,0.23
Desert Eagle,Bronze Deco,Mil-Spec Pistol,Chroma 2 Case,0.16
Dual Berettas,Melondrama,Classified Pistol,Dreams & Nightmares Case,1.5
Dual Berettas,Cobra Strike,Classified Pistol,Operation Hydra Case,46.0
Dual Berettas,Flora Carnivora,Restricted Pistol,Recoil Case,0.54
Dual Berettas,Dezastre,Restricted Pistol,Operation Broken Fang Case,2.81
Dual Berettas,Royal Consorts,Restricted Pistol,Glove Case,0.43
Dual Berettas,Urban Shock,Restricted Pistol,Chroma Case,1.38
Dual Berettas,Marina,Restricted Pistol,Winter Offensive Weapon Case,5.01
Dual Berettas,Hemoglobin,Restricted Pistol,CS:GO Weapon Case 2,11.07
Dual Berettas,Tread,Mil-Spec Pistol,Operation Riptide Case,0.66
Dual Berettas,Balance,Mil-Spec Pistol,Shattered Web Case,1.11
Dual Berettas,Elite 1.6,Mil-Spec Pistol,CS20 Case,0.15
Dual Berettas,Shred,Mil-Spec Pistol,Horizon Case,0.14
Dual Berettas,Ventilators,Mil-Spec Pistol,Chroma 3 Case,0.08
Dual Berettas,Cartel,Mil-Spec Pistol,Operation Wildfire Case,0.61
Dual Berettas,Dualing Dragons,Mil-Spec Pistol,Shadow Case,0.24
Dual Berettas,Retribution,Mil-Spec Pistol,The Huntsman Collection,4.86
Dual Berettas,Panther,Mil-Spec Pistol,CS:GO Weapon Case 3,2.14
Dual Berettas,Black Limba,Mil-Spec Pistol,Operation Bravo Case,7.31
Five-SeveN,Angry Mob,Covert Pistol,Prisma Case,2.99
Five-SeveN,Hyper Beast,Covert Pistol,Operation Hydra Case,32.75
Five-SeveN,Fairy Tale,Classified Pistol,Operation Broken Fang Case,17.45
Five-SeveN,Monkey Business,Classified Pistol,Chroma 2 Case,2.73
Five-SeveN,Fowl Play,Classified Pistol,Operation Breakout Weapon Case,2.54
Five-SeveN,Boost Protocol,Restricted Pistol,Operation Riptide Case,1.34
Five-SeveN,Buddy,Restricted Pistol,CS20 Case,0.69
Five-SeveN,Triumvirate,Restricted Pistol,Operation Wildfire Case,2.22
Five-SeveN,Retrobution,Restricted Pistol,Revolver Case,0.77
Five-SeveN,Copper Galaxy,Restricted Pistol,CS:GO Weapon Case 3,10.18
Five-SeveN,Case Hardened,Restricted Pistol,CS:GO Weapon Case 2,13.28
Five-SeveN,Scrawl,Mil-Spec Pistol,Dreams & Nightmares Case,0.07
Five-SeveN,Flame Test,Mil-Spec Pistol,Clutch Case,0.07
Five-SeveN,Capillary,Mil-Spec Pistol,Spectrum Case,0.18
Five-SeveN,Scumbria,Mil-Spec Pistol,Gamma 2 Case,0.09
Five-SeveN,Violent Daimyo,Mil-Spec Pistol,Gamma Case,0.11
Five-SeveN,Urban Hazard,Mil-Spec Pistol,Operation Vanguard Weapon Case,0.64
Five-SeveN,Nightshade,Mil-Spec Pistol,eSports 2013 Winter Case,1.29
Five-SeveN,Kami,Mil-Spec Pistol,Winter Offensive Weapon Case,0.99
Glock-18,Neo-Noir,Covert Pistol,Operation Broken Fang Case,10.94
Glock-18,Bullet Queen,Covert Pistol,Prisma 2 Case,7.31
Glock-18,Wasteland Rebel,Covert Pistol,Gamma Case,4.25
Glock-18,Snack Attack,Classified Pistol,Operation Riptide Case,3.86
Glock-18,Vogue,Classified Pistol,Fracture Case,3.02
Glock-18,Water Elemental,Classified Pistol,Operation Breakout Weapon Case,4.17
Glock-18,Umbral Rabbit,Restricted Pistol,Revolution Case,0.36
Glock-18,Moonrise,Restricted Pistol,Clutch Case,0.31
Glock-18,Weasel,Restricted Pistol,Gamma 2 Case,0.3
Glock-18,Royal Legion,Restricted Pistol,Operation Wildfire Case,2.53
Glock-18,Grinder,Restricted Pistol,Operation Vanguard Weapon Case,1.9
Glock-18,Steel Disruption,Restricted Pistol,eSports 2014 Summer Case,5.14
Glock-18,Dragon Tattoo,Restricted Pistol,CS:GO Weapon Case,1.34
Glock-18,Winterized,Mil-Spec Pistol,Recoil Case,0.08
Glock-18,Clear Polymer,Mil-Spec Pistol,Snakebite Case,0.09
Glock-18,Sacrifice,Mil-Spec Pistol,CS20 Case,0.16
Glock-18,Oxide Blaze,Mil-Spec Pistol,Danger Zone Case,0.08
Glock-18,Warhawk,Mil-Spec Pistol,Horizon Case,0.18
Glock-18,Off World,Mil-Spec Pistol,Spectrum 2 Case,0.09
Glock-18,Ironwork,Mil-Spec Pistol,Glove Case,0.12
Glock-18,Wraiths,Mil-Spec Pistol,Shadow Case,0.13
Glock-18,Bunsen Burner,Mil-Spec Pistol,Falchion Case,0.21
Glock-18,Catacombs,Mil-Spec Pistol,Chroma Case,0.19
Glock-18,Blue Fissure,Mil-Spec Pistol,CS:GO Weapon Case 3,1.65
P2000,Fire Elemental,Covert Pistol,Operation Vanguard Weapon Case,12.89
P2000,Wicked Sick,Classified Pistol,Revolution Case,3.02
P2000,Imperial Dragon,Classified Pistol,Gamma Case,3.0
P2000,Corticera,Classified Pistol,eSports 2014 Summer Case,7.42
P2000,Ocean Foam,Classified Pistol,Operation Bravo Case,1.34
P2000,Acid Etched,Restricted Pistol,Prisma 2 Case,0.38
P2000,Obsidian,Restricted Pistol,Shattered Web Case,2.0
P2000,Woodsman,Restricted Pistol,Operation Hydra Case,7.15
P2000,Handgun,Restricted Pistol,Falchion Case,0.73
P2000,Lifted Spirits,Mil-Spec Pistol,Dreams & Nightmares Case,0.08
