id,question_id,text,is_correct,order_number
1,1,Пистолет,false,
2,1,Снайперская винтовка,true,
3,1,Пистолет-пулемет,false,
4,1,Дробовик,false,
5,2,Редкость,true,
6,2,Состояние износа,true,
7,2,Коллекция,true,
8,2,Цвет кнопки на сайте,false,
9,4,Restricted,false,1
10,4,Classified,false,2
11,4,Covert,false,3
12,5,Case Drop,true,
13,5,Trade Ban,false,
14,5,Workshop,false,
15,5,Profile Award,false,
16,6,Редкость скина,true,
17,6,Состояние износа,true,
18,6,Коллекция,true,
19,6,Количество раундов в матче,false,
